adult_occupant_protection,child_occupant_protection,vulnerable_road_user_protection,safety_assist,name,num_stars,rating_year,url
86%,89%,67%,84%,Mazda BT-50,5,Jul 2022 - onwards,https://www.ancap.com.au/safety-ratings/mazda/bt-50/d7c175
93%,87%,68%,74%,Mazda MX-30,5,Jan 2021 - onwards,https://www.ancap.com.au/safety-ratings/mazda/mx-30/da006c
98%,89%,81%,76%,Mazda 3,5,Apr 2019 - onwards,https://www.ancap.com.au/safety-ratings/mazda/3/8fa82b
99%,88%,80%,76%,Mazda CX-30,5,Feb 2020 - onwards,https://www.ancap.com.au/safety-ratings/mazda/cx-30/dc6684
95%,91%,66%,73%,Mazda 6,5,Jun 2018 - onwards,https://www.ancap.com.au/safety-ratings/mazda/6/ac206f
96%,87%,72%,73%,Mazda CX-8,5,Jul 2018 - onwards,https://www.ancap.com.au/safety-ratings/mazda/cx-8/add913
95%,80%,78%,59%,Mazda CX-5,5,Apr 2017 - onwards,https://www.ancap.com.au/safety-ratings/mazda/cx-5/f239a6
,,,,Mazda CX-9,5,Jul 2016 - onwards,https://www.ancap.com.au/safety-ratings/mazda/cx-9/8aa28b
,,,,Mazda MX-5,5,Sep 2015 - onwards,https://www.ancap.com.au/safety-ratings/mazda/mx-5/6e3441
,,,,Mazda 2,0,Jan 2023 - onwards,https://www.ancap.com.au/safety-ratings/mazda/2/d944ee
,,,,Mazda CX-3,0,Jan 2023 - onwards,https://www.ancap.com.au/safety-ratings/mazda/cx-3/3ce139
,,,,Mazda CX-7,5,2006 - 2012,https://www.ancap.com.au/safety-ratings/mazda/cx-7/b652e1
,,,,Mazda Tribute,4,2004 - 2008,https://www.ancap.com.au/safety-ratings/mazda/tribute/3bd950
