index,adult_occupant_protection,child_occupant_protection,vulnerable_road_user_protection,safety_assist,name,num_stars,rating_year,url
0,85.0,88.0,87.0,83.0,Toyota Corolla Cross,5,Jul 2022 - onwards,https://www.ancap.com.au/safety-ratings/toyota/corolla-cross/530bf9
1,89.0,88.0,81.0,77.0,Toyota Landcruiser,5,Jul 2021 - onwards,https://www.ancap.com.au/safety-ratings/toyota/landcruiser/c95f28
2,90.0,88.0,76.0,82.0,Toyota Kluger / Highlander,5,Mar 2021 - onwards,https://www.ancap.com.au/safety-ratings/toyota/kluger-highlander/a0e7f4
3,88.0,87.0,80.0,83.0,Toyota Mirai,5,Nov 2020 - onwards,https://www.ancap.com.au/safety-ratings/toyota/mirai/dbd98e
4,86.0,86.0,78.0,82.0,Toyota Yaris Cross,5,Aug 2020 - onwards,https://www.ancap.com.au/safety-ratings/toyota/yaris-cross/154c9a
5,86.0,87.0,78.0,87.0,Toyota Yaris,5,May 2020 - onwards,https://www.ancap.com.au/safety-ratings/toyota/yaris/8dbe27
6,95.0,84.0,88.0,78.0,Toyota Fortuner,5,Oct 2019 - onwards,https://www.ancap.com.au/safety-ratings/toyota/fortuner/aebf3a
7,94.0,88.0,84.0,79.0,Toyota Granvia,5,Oct 2019 - onwards,https://www.ancap.com.au/safety-ratings/toyota/granvia/34aee4
8,94.0,88.0,84.0,77.0,Toyota Hiace,5,May 2019 - onwards,https://www.ancap.com.au/safety-ratings/toyota/hiace/852c74
9,96.0,87.0,88.0,78.0,Toyota Hilux,5,Jul 2019 - onwards,https://www.ancap.com.au/safety-ratings/toyota/hilux/cad396
10,93.0,89.0,85.0,83.0,Toyota RAV4,5,May 2019 - onwards,https://www.ancap.com.au/safety-ratings/toyota/rav4/c922ba
11,96.0,83.0,86.0,76.0,Toyota Corolla,5,Aug 2018 - onwards,https://www.ancap.com.au/safety-ratings/toyota/corolla/41c68b
13,87.0,77.0,65.0,68.0,Toyota C-HR,5,Dec 2016 - onwards,https://www.ancap.com.au/safety-ratings/toyota/c-hr/e970cc
17,93.0,85.0,78.0,81.0,Toyota Avensis,5,Nov 2016 - Jan 2022,https://www.ancap.com.au/safety-ratings/toyota/avensis/04b697
